date,code,amount,close,date_stamp,down_count,high,low,open,up_count,vol,volume
2011-11-07,000030,26692589568.0,1637.21,1320595200.0,0,1657.86,1634.55,1645.99,0,260837.0,260837.0
2011-11-08,000030,26047791104.0,1627.0,1320681600.0,0,1646.69,1622.78,1642.27,0,265700.0,265700.0
2011-11-09,000030,24351148032.0,1641.36,1320768000.0,0,1643.61,1613.76,1633.64,0,242162.0,242162.0
2011-11-10,000030,26489507840.0,1609.56,1320854400.0,0,1627.96,1608.74,1622.83,0,261475.0,261475.0
2011-11-11,000030,19570794496.0,1606.45,1320940800.0,0,1617.56,1600.08,1611.94,0,186649.0,186649.0
2011-11-14,000030,25521655808.0,1640.67,1321200000.0,0,1641.29,1618.87,1621.7,0,241508.0,241508.0
2011-11-15,000030,24614733824.0,1640.98,1321286400.0,0,1646.52,1633.11,1638.9,0,230227.0,230227.0
2011-11-16,000030,29098070016.0,1596.11,1321372800.0,0,1642.84,1589.1,1642.69,0,274412.0,274412.0
2011-11-17,000030,19098869760.0,1590.16,1321459200.0,0,1606.86,1587.51,1595.63,0,188754.0,188754.0
2011-11-18,000030,20906608640.0,1552.02,1321545600.0,0,1579.38,1548.19,1578.12,0,207267.0,207267.0
2011-11-21,000030,14739707904.0,1554.12,1321804800.0,0,1556.42,1540.68,1552.05,0,146442.0,146442.0
2011-11-22,000030,14982802432.0,1553.66,1321891200.0,0,1554.25,1534.39,1542.6,0,150010.0,150010.0
2011-11-23,000030,14748958720.0,1540.88,1321977600.0,0,1561.1,1537.77,1556.7,0,146038.0,146038.0
2011-11-24,000030,15965516800.0,1541.12,1322064000.0,0,1551.52,1522.91,1529.94,0,161115.0,161115.0
2011-11-25,000030,14010658816.0,1530.51,1322150400.0,0,1551.52,1526.31,1540.49,0,127793.0,127793.0
2011-11-28,000030,13491659776.0,1531.14,1322409600.0,0,1540.64,1523.32,1535.16,0,130629.0,130629.0
2011-11-29,000030,16503449600.0,1553.24,1322496000.0,0,1553.7,1535.66,1545.62,0,157561.0,157561.0
2011-11-30,000030,20157044736.0,1498.97,1322582400.0,0,1549.51,1487.86,1549.48,0,210169.0,210169.0
2011-12-01,000030,30655303680.0,1533.43,1322668800.0,0,1561.87,1529.8,1542.99,0,316249.0,316249.0
2011-12-02,000030,15335385088.0,1514.44,1322755200.0,0,1527.59,1506.03,1524.7,0,165491.0,165491.0
2011-12-05,000030,15099412480.0,1485.41,1323014400.0,0,1516.74,1482.05,1516.55,0,160218.0,160218.0
2011-12-06,000030,12943753216.0,1480.33,1323100800.0,0,1486.67,1469.98,1480.81,0,138949.0,138949.0
2011-12-07,000030,10606322688.0,1486.5,1323187200.0,0,1491.36,1476.19,1480.53,0,113020.0,113020.0
2011-12-08,000030,13452553216.0,1483.89,1323273600.0,0,1499.76,1465.33,1483.74,0,144147.0,144147.0
2011-12-09,000030,12220063744.0,1469.44,1323360000.0,0,1484.05,1465.56,1470.57,0,121538.0,121538.0
2011-12-12,000030,10378552320.0,1451.07,1323619200.0,0,1468.7,1450.08,1466.3,0,109911.0,109911.0
2011-12-13,000030,15981367296.0,1409.68,1323705600.0,0,1445.49,1406.54,1442.68,0,179580.0,179580.0
2011-12-14,000030,11392633856.0,1390.67,1323792000.0,0,1416.64,1386.77,1404.96,0,127348.0,127348.0
2011-12-15,000030,16266424320.0,1352.89,1323878400.0,0,1379.18,1350.47,1378.25,0,184352.0,184352.0
2011-12-16,000030,16632901632.0,1384.94,1323964800.0,0,1385.26,1348.09,1353.13,0,186292.0,186292.0
2011-12-19,000030,16589670400.0,1378.93,1324224000.0,0,1381.96,1343.99,1373.67,0,192822.0,192822.0
2011-12-20,000030,14600642560.0,1373.83,1324310400.0,0,1396.1,1371.87,1374.75,0,162655.0,162655.0
2011-12-21,000030,16157701120.0,1349.68,1324396800.0,0,1392.06,1348.62,1386.44,0,163516.0,163516.0
2011-12-22,000030,15811487744.0,1351.77,1324483200.0,0,1363.58,1318.16,1338.53,0,189266.0,189266.0
2011-12-23,000030,14952317952.0,1367.33,1324569600.0,0,1381.44,1345.67,1348.27,0,174870.0,174870.0
2011-12-26,000030,13010357248.0,1350.84,1324828800.0,0,1373.14,1350.34,1360.47,0,148612.0,148612.0
2011-12-27,000030,13299624960.0,1327.67,1324915200.0,0,1352.61,1325.53,1347.91,0,159683.0,159683.0
2011-12-28,000030,13638439936.0,1331.02,1325001600.0,0,1332.2,1304.14,1321.51,0,161339.0,161339.0
2011-12-29,000030,13363435520.0,1334.01,1325088000.0,0,1343.66,1322.43,1324.64,0,160043.0,160043.0
2011-12-30,000030,15523790848.0,1355.57,1325174400.0,0,1359.18,1338.85,1338.85,0,180978.0,180978.0
2012-01-04,000030,15783518208.0,1326.85,1325606400.0,0,1368.97,1326.23,1365.17,0,171769.0,171769.0
2012-01-05,000030,18620129280.0,1305.01,1325692800.0,0,1331.94,1301.71,1322.81,0,217253.0,217253.0
2012-01-06,000030,14932702208.0,1315.53,1325779200.0,0,1315.93,1288.85,1303.42,0,176502.0,176502.0
2012-01-09,000030,25280956416.0,1366.65,1326038400.0,0,1366.87,1303.75,1316.43,0,278853.0,278853.0
2012-01-10,000030,37806981120.0,1420.25,1326124800.0,0,1421.08,1360.03,1363.96,0,397196.0,397196.0
2012-01-11,000030,29881995264.0,1414.88,1326211200.0,0,1424.13,1404.97,1417.76,0,293263.0,293263.0
