,date,code,open,high,low,close,volume,amount,open_qfq,high_qfq,low_qfq,close_qfq,volume_qfq,amount_qfq,preclose,adj,open_hfq,high_hfq,low_hfq,close_hfq,volume_hfq,amount_hfq,preclose_hfq,adj_hfq
5695,2019-07-04,600858,5.13,5.15,5.1,5.13,17582.0,9010324.0,5.097185499764456,5.117057567989659,5.067377397426652,5.097185499764456,17695.188845720448,9010324.0,5.097185499764456,0.9936034112601279,35.31386001465406,35.451535882157586,35.10734621339877,35.31386001465406,2554.115012138912,9010324.0,35.31386001465406,6.88379337517623
5696,2019-07-05,600858,5.11,5.15,5.1,5.14,15457.0,7919195.0,5.077313431539253,5.117057567989659,5.067377397426652,5.107121533877057,15556.508587663573,7919195.0,5.097185499764456,0.9936034112601279,35.176184147150536,35.451535882157586,35.10734621339877,35.38269794840582,2245.418936561891,7919195.0,35.31386001465406,6.88379337517623
5697,2019-07-08,600858,5.12,5.13,4.95,4.99,24043.0,12064352.0,5.087249465651855,5.097185499764456,4.9183368857376335,4.958081022188038,24197.78326798184,12064352.0,5.107121533877057,0.9936034112601279,35.2450220809023,35.31386001465406,34.07477720712234,34.35012894212939,3492.6963506345046,12064352.0,35.38269794840582,6.88379337517623
5698,2019-07-09,600858,4.97,5.02,4.96,5.0,15932.0,7949845.0,4.938208953962835,4.987889124525841,4.928272919850234,4.968017056300639,16034.566527699815,7949845.0,4.958081022188038,0.9936034112601279,34.21245307462586,34.55664274338467,34.143615140874104,34.418966875881154,2314.4215887496957,7949845.0,34.35012894212939,6.88379337517623
5699,2019-07-10,600858,5.0,5.03,4.95,4.97,13834.0,6887400.0,4.968017056300639,4.9978251586384435,4.9183368857376335,4.938208953962835,13923.060089392371,6887400.0,4.968017056300639,0.9936034112601279,34.418966875881154,34.62548067713644,34.07477720712234,34.21245307462586,2009.6477691917705,6887400.0,34.418966875881154,6.88379337517623
5700,2019-07-11,600858,4.99,5.02,4.87,4.9,41796.0,20611990.0,4.958081022188038,4.987889124525841,4.838848612836823,4.868656715174627,42065.07297211533,20611990.0,4.938208953962835,0.9936034112601279,34.35012894212939,34.55664274338467,33.524073737108246,33.73058753836353,6071.652317561026,20611990.0,34.21245307462586,6.88379337517623
5701,2019-07-12,600858,4.89,4.97,4.88,4.94,25478.0,12527326.0,4.8587206810620245,4.938208953962835,4.848784646949424,4.908400851625032,25642.02146577554,12527326.0,4.868656715174627,0.9936034112601279,33.661749604611764,34.21245307462586,33.592911670860005,34.00593927337058,3701.156994612399,12527326.0,33.73058753836353,6.88379337517623
5702,2019-07-15,600858,4.93,5.0,4.9,5.0,23924.0,11870025.0,4.89846481751243,4.968017056300639,4.868656715174627,4.968017056300639,24078.017173530654,11870025.0,4.908400851625032,0.9936034112601279,33.93710133961881,34.418966875881154,33.73058753836353,34.418966875881154,3475.4093704021916,11870025.0,34.00593927337058,6.88379337517623
5703,2019-07-16,600858,5.0,5.08,4.99,5.07,18285.0,9215008.0,4.968017056300639,5.047505329201449,4.958081022188038,5.037569295088849,18402.714596974085,9215008.0,4.968017056300639,0.9936034112601279,34.418966875881154,34.96967034589525,34.35012894212939,34.90083241214349,2656.2389373768633,9215008.0,34.418966875881154,6.88379337517623
5704,2019-07-17,600858,5.06,5.13,5.05,5.11,23160.0,11827501.0,5.027633260976247,5.097185499764456,5.017697226863645,5.077313431539253,23309.098718398676,11827501.0,5.037569295088849,0.9936034112601279,34.83199447839172,35.31386001465406,34.76315654463996,35.176184147150536,3364.424051935912,11827501.0,34.90083241214349,6.88379337517623
5705,2019-07-18,600858,5.1,5.11,5.01,5.02,14567.0,7360127.0,5.067377397426652,5.077313431539253,4.977953090413241,4.987889124525841,14660.77897370093,7360127.0,5.077313431539253,0.9936034112601279,35.10734621339877,35.176184147150536,34.48780480963291,34.55664274338467,2116.129756673162,7360127.0,35.176184147150536,6.88379337517623
5706,2019-07-19,600858,5.06,5.1,5.03,5.06,14425.0,7322829.0,5.027633260976247,5.067377397426652,4.9978251586384435,5.027633260976247,14517.864810574305,7322829.0,4.987889124525841,0.9936034112601279,34.83199447839172,35.10734621339877,34.62548067713644,34.83199447839172,2095.5015953875445,7322829.0,34.55664274338467,6.88379337517623
5707,2019-07-22,600858,5.08,5.08,4.91,5.0,19517.0,9770358.0,5.047505329201449,5.047505329201449,4.878592749287228,4.968017056300639,19642.645927762824,9770358.0,5.027633260976247,0.9936034112601279,34.96967034589525,34.96967034589525,33.799425472115296,34.418966875881154,2835.210026840811,9770358.0,34.83199447839172,6.88379337517623
5708,2019-07-23,600858,5.0,5.01,4.97,5.0,14187.0,7078196.0,4.968017056300639,4.977953090413241,4.938208953962835,4.968017056300639,14278.332621671936,7078196.0,4.968017056300639,0.9936034112601279,34.418966875881154,34.48780480963291,34.21245307462586,34.418966875881154,2060.927634922918,7078196.0,34.418966875881154,6.88379337517623
5709,2019-07-24,600858,4.98,5.02,4.94,4.99,21676.0,10798492.0,4.948144988075438,4.987889124525841,4.908400851625032,4.958081022188038,21815.545069948606,10798492.0,4.968017056300639,0.9936034112601279,34.28129100837763,34.55664274338467,34.00593927337058,34.35012894212939,3148.845239627065,10798492.0,34.418966875881154,6.88379337517623
5710,2019-07-25,600858,4.98,4.98,4.9,4.92,28358.0,13998618.0,4.948144988075438,4.948144988075438,4.868656715174627,4.8885287833998285,28540.562239047915,13998618.0,4.958081022188038,0.9936034112601279,34.28129100837763,34.28129100837763,33.73058753836353,33.868263405867054,4119.530969982668,13998618.0,34.35012894212939,6.88379337517623
5711,2019-07-26,600858,4.92,4.95,4.9,4.94,19590.0,9654164.0,4.8885287833998285,4.9183368857376335,4.868656715174627,4.908400851625032,19716.11588486313,9654164.0,4.8885287833998285,0.9936034112601279,33.868263405867054,34.07477720712234,33.73058753836353,34.00593927337058,2845.814644966516,9654164.0,33.868263405867054,6.88379337517623
5712,2019-07-29,600858,4.9,4.94,4.89,4.92,13178.0,6477257.0,4.868656715174627,4.908400851625032,4.8587206810620245,4.8885287833998285,13262.836913258108,6477257.0,4.908400851625032,0.9936034112601279,33.73058753836353,34.00593927337058,33.661749604611764,33.868263405867054,1914.351474801876,6477257.0,34.00593927337058,6.88379337517623
5713,2019-07-30,600858,4.92,4.96,4.9,4.94,15364.0,7585974.0,4.8885287833998285,4.928272919850234,4.868656715174627,4.908400851625032,15462.90987519332,7585974.0,4.8885287833998285,0.9936034112601279,33.868263405867054,34.143615140874104,33.73058753836353,34.00593927337058,2231.908943607226,7585974.0,33.868263405867054,6.88379337517623
5714,2019-07-31,600858,4.93,4.93,4.89,4.91,11798.0,5786098.0,4.89846481751243,4.89846481751243,4.8587206810620245,4.878592749287228,11873.952792731761,5786098.0,4.908400851625032,0.9936034112601279,33.93710133961881,33.93710133961881,33.661749604611764,33.799425472115296,1713.8806116036221,5786098.0,34.00593927337058,6.88379337517623
5715,2019-08-01,600858,4.88,4.93,4.86,4.91,18956.0,9303973.0,4.848784646949424,4.89846481751243,4.828912578724221,4.878592749287228,19078.034339635808,9303973.0,4.878592749287228,0.9936034112601279,33.592911670860005,33.93710133961881,33.45523580335648,33.799425472115296,2753.7142628884776,9303973.0,33.799425472115296,6.88379337517623
5716,2019-08-02,600858,4.84,4.89,4.8,4.81,32360.0,15614097.0,4.809040510499019,4.8587206810620245,4.769296374048613,4.7792324081612145,32568.326188574316,15614097.0,4.878592749287228,0.9936034112601279,33.317559935852955,33.661749604611764,33.042208200845906,33.111046134597665,4700.896473257604,15614097.0,33.799425472115296,6.88379337517623
5717,2019-08-05,600858,4.8,4.81,4.75,4.79,15674.0,7497777.0,4.769296374048613,4.7792324081612145,4.719616203485607,4.759360339936013,15774.905583427499,7497777.0,4.7792324081612145,0.9936034112601279,33.042208200845906,33.111046134597665,32.6980185320871,32.97337026709415,2276.942253456109,7497777.0,33.111046134597665,6.88379337517623
5718,2019-08-06,600858,4.75,4.8,4.67,4.72,24388.0,11542071.0,4.719616203485607,4.769296374048613,4.640127930584797,4.689808101147803,24545.004298113425,11542071.0,4.759360339936013,0.9936034112601279,32.6980185320871,33.042208200845906,32.147315062073,32.49150473083181,3542.814066434068,11542071.0,32.97337026709415,6.88379337517623
5719,2019-08-07,600858,4.75,4.77,4.69,4.69,15952.0,7537534.0,4.719616203485607,4.739488271710809,4.65999999881,4.65999999881,16054.695283069763,7537534.0,4.689808101147803,0.9936034112601279,32.6980185320871,32.835694399590615,32.28499092957652,32.28499092957652,2317.3269635786555,7537534.0,32.49150473083181,6.88379337517623
5720,2019-08-08,600858,4.72,4.72,4.65,4.67,12473.0,5833705.0,4.72,4.72,4.65,4.67,12473.0,5833705.0,4.65999999881,1.0,32.700677516419525,32.700677516419525,32.215709841387884,32.354272034254066,1800.3467961921938,5833705.0,32.28499092957652,6.928109643309222
5721,2019-08-09,600858,4.68,4.69,4.6,4.62,13689.0,6368611.0,4.68,4.69,4.6,4.62,13689.0,6368611.0,4.67,1.0,32.423553130687154,32.492834227120255,31.86930435922242,32.00786655208861,1975.863648927679,6368611.0,32.354272034254066,6.928109643309222
5722,2019-08-12,600858,4.6,4.69,4.6,4.67,10744.0,4978148.0,4.6,4.69,4.6,4.67,10744.0,4978148.0,4.62,1.0,31.86930435922242,32.492834227120255,31.86930435922242,32.354272034254066,1550.7837712089256,4978148.0,32.00786655208861,6.928109643309222
5723,2019-08-13,600858,4.65,4.66,4.62,4.63,7051.0,3268197.0,4.65,4.66,4.62,4.63,7051.0,3268197.0,4.67,1.0,32.215709841387884,32.28499093782098,32.00786655208861,32.077147648521695,1017.7379347351205,3268197.0,32.354272034254066,6.928109643309222
5724,2019-08-14,600858,4.66,4.7,4.65,4.68,10309.0,4827419.0,4.66,4.7,4.65,4.68,10309.0,4827419.0,4.63,1.0,32.28499093782098,32.56211532355334,32.215709841387884,32.423553130687154,1487.996081291215,4827419.0,32.077147648521695,6.928109643309222
5725,2019-08-15,600858,4.58,4.64,4.56,4.64,11182.0,5141213.0,4.58,4.64,4.56,4.64,11182.0,5141213.0,4.68,1.0,31.730742166356237,32.14642874495479,31.59217997349005,32.14642874495479,1614.004479677793,5141213.0,32.423553130687154,6.928109643309222
5726,2019-08-16,600858,4.64,4.66,4.61,4.63,17945.0,8309556.0,4.64,4.66,4.61,4.63,17945.0,8309556.0,4.64,1.0,32.14642874495479,32.28499093782098,31.938585455655517,32.077147648521695,2590.1726335018775,8309556.0,32.14642874495479,6.928109643309222
5727,2019-08-19,600858,4.63,4.72,4.62,4.72,21627.0,10107679.0,4.63,4.72,4.62,4.72,21627.0,10107679.0,4.63,1.0,32.077147648521695,32.700677516419525,32.00786655208861,32.700677516419525,3121.630735288108,10107679.0,32.077147648521695,6.928109643309222
5728,2019-08-20,600858,4.71,4.72,4.69,4.7,16740.0,7877530.0,4.71,4.72,4.69,4.7,16740.0,7877530.0,4.72,1.0,32.63139641998644,32.700677516419525,32.492834227120255,32.56211532355334,2416.2435154539667,7877530.0,32.700677516419525,6.928109643309222
5729,2019-08-21,600858,4.68,4.72,4.66,4.7,14151.0,6655073.0,4.68,4.72,4.66,4.7,14151.0,6655073.0,4.7,1.0,32.423553130687154,32.700677516419525,32.28499093782098,32.56211532355334,2042.5485058057993,6655073.0,32.56211532355334,6.928109643309222
5730,2019-08-22,600858,4.7,4.71,4.66,4.71,15615.0,7311163.0,4.7,4.71,4.66,4.71,15615.0,7311163.0,4.7,1.0,32.56211532355334,32.63139641998644,32.28499093782098,32.63139641998644,2253.861558770232,7311163.0,32.56211532355334,6.928109643309222
5731,2019-08-23,600858,4.7,4.72,4.68,4.71,11571.0,5444028.0,4.7,4.72,4.68,4.71,11571.0,5444028.0,4.71,1.0,32.56211532355334,32.700677516419525,32.423553130687154,32.63139641998644,1670.1525518111018,5444028.0,32.63139641998644,6.928109643309222
5732,2019-08-26,600858,4.66,4.66,4.62,4.65,10535.0,4894897.0,4.66,4.66,4.62,4.65,10535.0,4894897.0,4.71,1.0,32.28499093782098,32.28499093782098,32.00786655208861,32.215709841387884,1520.6168121450141,4894897.0,32.63139641998644,6.928109643309222
5733,2019-08-27,600858,4.66,4.8,4.66,4.76,36648.0,17422932.0,4.66,4.8,4.66,4.76,36648.0,17422932.0,4.65,1.0,32.28499093782098,33.25492628788427,32.28499093782098,32.977801902151896,5289.754620929329,17422932.0,32.215709841387884,6.928109643309222
5734,2019-08-28,600858,4.77,5.24,4.76,5.24,175044.0,91058320.0,4.77,5.24,4.76,5.24,175044.0,91058320.0,4.76,1.0,33.04708299858498,36.30329453094033,32.977801902151896,36.30329453094033,25265.766422886743,91058320.0,32.977801902151896,6.928109643309222
5735,2019-08-29,600858,5.1,5.12,4.99,5.01,115921.0,58458308.0,5.1,5.12,4.99,5.01,115921.0,58458308.0,5.24,1.0,35.33335918087703,35.471921373743214,34.57126712011302,34.7098293129792,16731.981156209036,58458308.0,36.30329453094033,6.928109643309222
5736,2019-08-30,600858,4.99,5.01,4.84,4.86,80129.0,39358440.0,4.99,5.01,4.84,4.86,80129.0,39358440.0,5.01,1.0,34.57126712011302,34.7098293129792,33.53205067361663,33.67061286648282,11565.781161876397,39358440.0,34.7098293129792,6.928109643309222
5737,2019-09-02,600858,4.84,4.95,4.82,4.95,50876.0,24910644.0,4.84,4.95,4.82,4.95,50876.0,24910644.0,4.86,1.0,33.53205067361663,34.29414273438065,33.39348848075045,34.29414273438065,7343.417269548148,24910644.0,33.67061286648282,6.928109643309222
5738,2019-09-03,600858,4.91,4.96,4.88,4.92,29926.0,14698426.0,4.91,4.96,4.88,4.92,29926.0,14698426.0,4.95,1.0,34.01701834864828,34.363423830813744,33.809175059349,34.08629944508137,4319.504387304385,14698426.0,34.29414273438065,6.928109643309222
5739,2019-09-04,600858,4.89,4.95,4.89,4.93,27826.0,13684719.0,4.89,4.95,4.89,4.93,27826.0,13684719.0,4.92,1.0,33.8784561557821,34.29414273438065,33.8784561557821,34.15558054151446,4016.3914014947472,13684719.0,34.08629944508137,6.928109643309222
5740,2019-09-05,600858,4.95,5.0,4.92,4.95,44262.0,22002826.0,4.95,5.0,4.92,4.95,44262.0,22002826.0,4.93,1.0,34.29414273438065,34.64054821654611,34.08629944508137,34.29414273438065,6388.755703764842,22002826.0,34.15558054151446,6.928109643309222
5741,2019-09-06,600858,4.98,5.0,4.93,4.96,24657.0,12220136.0,4.98,5.0,4.93,4.96,24657.0,12220136.0,4.95,1.0,34.501986023679926,34.64054821654611,34.15558054151446,34.363423830813744,3558.979471956299,12220136.0,34.29414273438065,6.928109643309222
5742,2019-09-09,600858,4.98,5.02,4.95,5.0,35026.0,17434784.0,4.98,5.02,4.95,5.0,35026.0,17434784.0,4.96,1.0,34.501986023679926,34.77911040941229,34.29414273438065,34.64054821654611,5055.635924270647,17434784.0,34.363423830813744,6.928109643309222
5743,2019-09-10,600858,5.01,5.01,4.93,4.98,27220.0,13510531.0,5.01,5.01,4.93,4.98,27220.0,13510531.0,5.0,1.0,34.7098293129792,34.7098293129792,34.15558054151446,34.501986023679926,3928.921654161109,13510531.0,34.64054821654611,6.928109643309222
5744,2019-09-11,600858,4.99,5.01,4.96,4.99,22705.0,11302425.0,4.99,5.01,4.96,4.99,22705.0,11302425.0,4.98,1.0,34.57126712011302,34.7098293129792,34.363423830813744,34.57126712011302,3277.228734670389,11302425.0,34.501986023679926,6.928109643309222
5745,2019-09-12,600858,4.99,5.01,4.96,5.0,19578.0,9762888.0,4.99,5.01,4.96,5.0,19578.0,9762888.0,4.99,1.0,34.57126712011302,34.7098293129792,34.363423830813744,34.64054821654611,2825.8790648481336,9762888.0,34.57126712011302,6.928109643309222
5746,2019-09-16,600858,5.0,5.02,4.96,4.97,23621.0,11793943.0,5.0,5.02,4.96,4.97,23621.0,11793943.0,5.0,1.0,34.64054821654611,34.77911040941229,34.363423830813744,34.43270492724683,3409.4437322902118,11793943.0,34.64054821654611,6.928109643309222
5747,2019-09-17,600858,4.97,4.97,4.83,4.85,24997.0,12235428.0,4.97,4.97,4.83,4.85,24997.0,12235428.0,4.97,1.0,34.43270492724683,34.43270492724683,33.46276957718354,33.601331770049725,3608.05490775405,12235428.0,34.43270492724683,6.928109643309222
5748,2019-09-18,600858,4.85,4.92,4.85,4.91,19640.0,9604736.0,4.85,4.92,4.85,4.91,19640.0,9604736.0,4.85,1.0,33.601331770049725,34.08629944508137,33.601331770049725,34.01701834864828,2834.8281149053705,9604736.0,33.601331770049725,6.928109643309222
5749,2019-09-19,600858,4.9,4.9,4.86,4.88,16078.0,7852833.0,4.9,4.9,4.86,4.88,16078.0,7852833.0,4.91,1.0,33.94773725221519,33.94773725221519,33.67061286648282,33.809175059349,2320.6907551654044,7852833.0,34.01701834864828,6.928109643309222
5750,2019-09-20,600858,4.89,4.91,4.86,4.88,13930.0,6804491.0,4.89,4.91,4.86,4.88,13930.0,6804491.0,4.88,1.0,33.8784561557821,34.01701834864828,33.67061286648282,33.809175059349,2010.649472537261,6804491.0,33.809175059349,6.928109643309222
5751,2019-09-23,600858,4.89,4.89,4.79,4.82,18531.0,8929732.0,4.89,4.89,4.79,4.82,18531.0,8929732.0,4.88,1.0,33.8784561557821,33.8784561557821,33.18564519145117,33.39348848075045,2674.7555904944716,8929732.0,33.809175059349,6.928109643309222
5752,2019-09-24,600858,4.83,4.87,4.81,4.82,15763.0,7621289.0,4.83,4.87,4.81,4.82,15763.0,7621289.0,4.82,1.0,33.46276957718354,33.739893962915914,33.324207384317354,33.39348848075045,2275.223807293959,7621289.0,33.39348848075045,6.928109643309222
5753,2019-09-25,600858,4.8,4.81,4.73,4.74,14698.0,7001961.0,4.8,4.81,4.73,4.74,14698.0,7001961.0,4.82,1.0,33.25492628788427,33.324207384317354,32.769958612852626,32.839239709285714,2121.5022216333573,7001961.0,33.39348848075045,6.928109643309222
5754,2019-09-26,600858,4.76,4.76,4.65,4.67,19325.0,9073725.0,4.76,4.76,4.65,4.67,19325.0,9073725.0,4.74,1.0,32.977801902151896,32.977801902151896,32.215709841387884,32.354272034254066,2789.3611670339246,9073725.0,32.839239709285714,6.928109643309222
5755,2019-09-27,600858,4.67,4.73,4.66,4.69,14071.0,6612407.0,4.67,4.73,4.66,4.69,14071.0,6612407.0,4.67,1.0,32.354272034254066,32.769958612852626,32.28499093782098,32.492834227120255,2031.0013444416227,6612407.0,32.354272034254066,6.928109643309222
5756,2019-09-30,600858,4.69,4.72,4.65,4.66,12795.0,5990247.0,4.69,4.72,4.65,4.66,12795.0,5990247.0,4.69,1.0,32.492834227120255,32.700677516419525,32.215709841387884,32.28499093782098,1846.8241206830048,5990247.0,32.492834227120255,6.928109643309222
5757,2019-10-08,600858,4.65,4.72,4.64,4.66,16622.0,7765942.0,4.65,4.72,4.64,4.66,16622.0,7765942.0,4.66,1.0,32.215709841387884,32.700677516419525,32.14642874495479,32.28499093782098,2399.2114524418057,7765942.0,32.28499093782098,6.928109643309222
5758,2019-10-09,600858,4.65,4.7,4.62,4.7,14870.0,6925713.0,4.65,4.7,4.62,4.7,14870.0,6925713.0,4.66,1.0,32.215709841387884,32.56211532355334,32.00786655208861,32.56211532355334,2146.328618566337,6925713.0,32.28499093782098,6.928109643309222
